"WellID","ID","treat","Name","Concentration","dilution","timepoint","meanOD","log_conc","log_OD","Concentration_corrected"
"SPL1","O133","SA","unk",97.9223051226577,2,1,0.75,1.99088162835405,-0.1249387366083,195.844610245315
"SPL10","B4","A","unk",191.898887392836,2.75,13,0.5905,2.28307245675448,-0.228780098050466,527.7219403303
"SPL11","O96","LD","unk",1155.27179731465,2,13,0.312,3.0626841714034,-0.505845405981557,2310.54359462931
"SPL12","G7","A","unk",174.730373021493,2.444,13,0.6105,2.24236840406192,-0.214314331719099,427.041031664529
"SPL13","O71","LD","unk",926.14493272763,2,13,0.3375,2.96667895488774,-0.471726222832956,1852.28986545526
"SPL14","Y6","LD","unk",55.8744263508951,2.75,19,0.9155,1.74721307736738,-0.0383416513622847,153.654672464961
"SPL15","Y11","SA","unk",439.123160405377,3.143,19,0.44,2.64258634343779,-0.356547323513813,1380.1640931541
"SPL16","O73","LD","unk",86.9045273847392,4.4,19,0.7825,1.93904240207574,-0.106515653781514,382.379920492853
"SPL18","P4","A","unk",726.026363654043,2.444,1,0.368,2.86095239119815,-0.434152181326482,1774.40843277048
"SPL19","O70","LD","unk",189.181969819051,3.143,1,0.5935,2.27687974315867,-0.22657927670939,594.598931141278
"SPL2","O3","SA","unk",143.655936629991,2,1,0.6545,2.15732357806463,-0.184090349113225,287.311873259981
"SPL21","B5","SLD","unk",212.482451119423,2.444,1,0.5695,2.32732306757827,-0.244506271584881,519.307110535869
"SPL22","B8","LD","unk",264.302494508385,2,7,0.527,2.42210126205761,-0.278189384787453,528.60498901677
"SPL24","R30","A","unk",701.616450145867,2.222,7,0.3725,2.84609976297461,-0.428873722915688,1558.99175222412
"SPL26","P19","SA","unk",258.738433416909,2,13,0.531,2.41286094429883,-0.274905478918531,517.476866833817
"SPL27","R197","LD","unk",668.281944064338,2,13,0.379,2.82495972732277,-0.421360790031928,1336.56388812868
"SPL28","Y1","SLD","unk",281.999918802012,2,19,0.515,2.45024898327027,-0.288192770958809,563.999837604024
"SPL29","P5","SLD","unk",441.943587291255,2,19,0.439,2.64536683656242,-0.357535479757879,883.887174582509
"SPL3","B20","LD","unk",186.077709747508,2,1,0.597,2.26969435210202,-0.224025668870631,372.155419495016
"SPL30","P10","SA","unk",646.45104828774,2,19,0.3835,2.81053564404485,-0.416234631715,1292.90209657548
"SPL31","Y7","LD","unk",141.516177575456,2,19,0.658,2.15080608954337,-0.181774106386044,283.032355150913
"SPL32","Y15","A","unk",113.574205455239,2.2,19,0.7115,2.05527970725103,-0.147825095579697,249.863252001525
"SPL33","Y10","A","unk",616.590607851116,3.1428,13,0.39,2.78999690509776,-0.408935392973501,1937.82096235449
"SPL34","SD4",NA,"unk",128.387114290713,1,NA,0.681166666666667,2.10852143749247,-0.16674661267205,128.387114290713
"SPL4","O125","SLD","unk",560.2884382108,2,1,0.4035,2.74841166070948,-0.394156460941911,1120.5768764216
"SPL5","G9","SA","unk",204.303693535565,2,7,0.5775,2.31027621816262,-0.238448011435818,408.607387071131
"SPL6","G1","SA","unk",225.036094857049,2,7,0.558,2.35225218273362,-0.253365801062421,450.072189714099
"SPL8","Y4","SLD","unk",185.20347002568,2,7,0.598,2.26764911948893,-0.223298816011589,370.406940051361
"SPL9","Y12","A","unk",345.783849251302,2,7,0.479,2.53880470453986,-0.319664486585437,691.567698502605
"STD1","std",NA,"standard",1000,1,NA,0.284,3,-0.546681659952962,1000
"STD2","std",NA,"standard",500,1,NA,0.4155,2.69897000433602,-0.38142897187987,500
"STD3","std",NA,"standard",250,1,NA,0.5825,2.39794000867204,-0.234704070301943,250
"STD4","std",NA,"standard",125,1,NA,0.804,2.09691001300806,-0.0947439512515487,125
"STD5","std",NA,"standard",62.5,1,NA,0.9625,1.79588001734408,-0.0165992618194617,62.5
"STD6","std",NA,"standard",31.2,1,NA,1.079,1.49415459401844,0.0330214446829106,31.2
"STD7","std",NA,"standard",15.6,1,NA,1.2685,1.19312459835446,0.10329047155775,15.6
"STD8","std",NA,"standard",0,1,NA,1.7155,-Inf,0.234390722392192,0
