WellID,ID,treat,Name,Concentration,dilution,timepoint,meanOD,log_conc,log_OD,Concentration_corrected
POOL,NA,NA,unk,647.6536176,1,NA,0.2245,2.811342796,-0.648783655,647.6536176
SPL1,O99,SA,unk,50.33896929,2,1,0.615,1.701904319,-0.211124884,100.6779386
SPL10,DB64,SLD,unk,133.9709715,2,13,0.418,2.127010707,-0.378823718,267.941943
SPL11,Y10,A,unk,532.6402619,2,13,0.2425,2.726433991,-0.615288257,1065.280524
SPL12,O46,LD,unk,41.36947276,2,13,0.6645,1.616679986,-0.177505015,82.73894551
SPL13,B1,SA,unk,172.8813808,2,19,0.378,2.237748223,-0.4225082,345.7627617
SPL14,O124,SLD,unk,57.14277165,2,19,0.585,1.756961302,-0.232844134,114.2855433
SPL15,B15,A,unk,69.66975741,2,19,0.541,1.843044298,-0.266802735,139.3395148
SPL16,B16,LD,unk,147.4382167,2,19,0.4025,2.168610069,-0.395234115,294.8764334
SPL17,Y2,A,unk,72.35116002,2,1,0.533,1.859445499,-0.273272791,144.70232
SPL18,Y3,SA,unk,55.20877764,2,7,0.593,1.742008132,-0.226945307,110.4175553
SPL2,G2,SLD,unk,28.33427581,2,1,0.7715,1.452312117,-0.11266407,56.66855162
SPL3,G8,A,unk,285.8135571,2,1,0.31,2.456082825,-0.508638306,571.6271142
SPL4,O44,LD,unk,202.7026419,2,1,0.355,2.306859409,-0.449771647,405.4052838
SPL5,DB187,SA,unk,225.3047239,2,7,0.3405,2.352770297,-0.467882884,450.6094478
SPL6,B9,SLD,unk,36.32195839,2,7,0.6995,1.560169257,-0.155212281,72.64391677
SPL7,O21,A,unk,91.90543267,2.5,7,0.485,1.963341184,-0.314258261,229.7635817
SPL8,B3,LD,unk,33.28662504,2,7,0.724,1.522269764,-0.140261434,66.57325009
SPL9,O18,SA,unk,139.8308889,2,13,0.411,2.145603118,-0.386158178,279.6617777
STD1,std,NA,standard,1000,1,NA,0.1765,3,-0.75325529,1000
STD2,std,NA,standard,500,1,NA,0.245,2.698970004,-0.610833916,500
STD3,std,NA,standard,250,1,NA,0.317,2.397940009,-0.498940738,250
STD4,std,NA,standard,125,1,NA,0.517,2.096910013,-0.286509457,125
STD5,std,NA,standard,62.5,1,NA,0.562,1.795880017,-0.250263684,62.5
STD6,std,NA,standard,31.2,1,NA,0.792,1.494154594,-0.101274818,31.2
STD7,std,NA,standard,15.6,1,NA,0.857,1.193124598,-0.067019178,15.6
STD8,std,NA,standard,0,1,NA,1.311,#NAME?,0.117602692,0
