WellID,ID,treat,Name,Concentration,dilution,timepoint,meanOD,log_conc,log_OD,Concentration_corrected
SPL1,DB187,SA,unk,192.2994155,3.67,7,0.541,2.283977964,-0.266802735,705.7388547
SPL10,G8,A,unk,116.380338,8.46,1,0.674,2.065879614,-0.171340103,984.5776598
SPL11,O44,LD,unk,84.8429249,8.46,1,0.774,1.928615632,-0.111259039,717.7711446
SPL12,B3,LD,unk,107.4393102,3.67,7,0.698,2.031163212,-0.156144577,394.3022686
SPL14,B16,LD,unk,387.7517306,2.5,19,0.398,2.588553745,-0.400116928,969.3793266
SPL15,O71,LD,unk,478.5042369,2.29,13,0.363,2.679885788,-0.440093375,1095.774702
SPL16,Y12,A,unk,121.2562722,6.88,7,0.662,2.083704213,-0.179142011,834.243153
SPL17,B15,A,unk,34.81873353,7.86,19,1.143,1.54181297,0.05804623,273.6752455
SPL18,O46,LD,unk,95.77784912,2,13,0.734,1.98126508,-0.13430394,191.5556982
SPL19,B19,SA,unk,1617.495741,2,13,0.213,3.208843146,-0.671620397,3234.991483
SPL2,O18,SA,unk,321.5279964,2.08,13,0.432,2.507218794,-0.364516253,668.7782326
SPL20,P10,SA,unk,368.4400005,1.57,19,0.407,2.566366774,-0.390405591,578.4508007
SPL21,O91,SA,unk,385.5350645,2.44,7,0.399,2.586063883,-0.399027104,940.7055574
SPL22,G20,SLD,unk,37192.89735,2.44,13,0.054,4.570460011,-1.26760624,90750.66953
SPL23,P18,SLD,unk,1377.673651,2.2,19,0.2285,3.139146352,-0.641113796,3030.882031
SPL24,R11,SLD,unk,594.9129647,1.83,13,0.33,2.774453433,-0.48148606,1088.690725
SPL25,G16,SLD,unk,1025.668614,2.75,1,0.26,3.011007066,-0.585026652,2820.588688
SPL26,Y13,SLD,unk,204.6134857,2,13,0.5265,2.310934254,-0.278601624,409.2269713
SPL27,P2,LD,unk,539.2460954,2,1,0.3445,2.731787009,-0.462810774,1078.492191
SPL29,G3,A,unk,498.6704282,2,7,0.3565,2.697813615,-0.447940466,997.3408565
SPL3,O99,SA,unk,56.81558988,2.2,1,0.9225,1.75446752,-0.035033625,124.9942977
SPL30,SD4,NA,unk,133.5986086,1,NA,0.6345,2.125801935,-0.197568374,133.5986086
SPL31,SD4 2,NA,unk,79.80938242,1,NA,0.795,1.90205395,-0.099632871,79.80938242
SPL4,B1,SA,unk,298.9330288,2.75,19,0.446,2.475573902,-0.350665141,822.0658291
SPL5,DB64,SLD,unk,167.3023541,2,13,0.575,2.223502052,-0.240332155,334.6047081
SPL6,B9,SLD,unk,123.8049608,1.57,7,0.656,2.092738047,-0.183096161,194.3737885
SPL7,G2,SLD,unk,61.66716913,1.83,1,0.89,1.790054012,-0.050609993,112.8509195
SPL8,O124,SLD,unk,36.69809934,5.5,19,1.117,1.564643572,0.048053173,201.8395463
SPL9,O125,SLD,unk,100.0858921,5.5,1,0.72,2.000372864,-0.142667504,550.4724064
STD1,std,NA,standard,1000,1,NA,0.2265,3,-0.644931794,1000
STD2,std,NA,standard,500,1,NA,0.349,2.698970004,-0.457174573,500
STD3,std,NA,standard,250,1,NA,0.5835,2.397940009,-0.23395914,250
STD5,std,NA,standard,62.5,1,NA,1.012,1.795880017,0.005180513,62.5
STD6,std,NA,standard,31.2,1,NA,1.1565,1.494154594,0.063145637,31.2
STD7,std,NA,standard,15.6,1,NA,1.4415,1.193124598,0.158814647,15.6
STD8,std,NA,standard,0,1,NA,1.901,#NAME?,0.278982117,0
