WellID,ID,treat,Name,Concentration,dilution,timepoint,meanOD,log_conc,log_OD,Concentration_corrected
SPL1,Y11,SA,unk,77.06216611,3.93,7,1.308,1.886841212,0.116607744,302.8543128
SPL10,B6,SLD,unk,172.83986,2.39,19,0.888,2.237643906,-0.051587034,413.0872654
SPL11,Y13,SLD,unk,267.6762351,2,1,0.72,2.427609815,-0.142667504,535.3524701
SPL12,Y13,SLD,unk,61.44707861,3.93,7,1.458,1.78850124,0.163757524,241.4870189
SPL13,Y13,SLD,unk,120.8956509,3.14,13,1.054,2.082410678,0.022840611,379.6123437
SPL14,Y13,SLD,unk,150.1450111,2,19,0.95,2.176510906,-0.022276395,300.2900222
SPL15,Y2,SLD,unk,365.6422815,2,1,0.62,2.56305641,-0.207608311,731.284563
SPL16,Y2,SLD,unk,360.7707153,2,7,0.624,2.557231277,-0.20481541,721.5414305
SPL17,Y2,SLD,unk,63.05994983,2,13,1.44,1.799753621,0.158362492,126.1198997
SPL18,Y2,SLD,unk,345.5844747,2,19,0.637,2.538554224,-0.195860568,691.1689493
SPL19,Y4,SLD,unk,142.5317732,2,1,0.974,2.153911688,-0.011441043,285.0635463
SPL2,Y11,SA,unk,115.7973304,3.14,13,1.076,2.063698547,0.031812271,363.6036174
SPL20,Y4,SLD,unk,150.4751856,2,7,0.949,2.177464888,-0.022733788,300.9503711
SPL21,Y4,SLD,unk,251.3893457,2,13,0.742,2.400346868,-0.129596095,502.7786913
SPL22,Y4,SLD,unk,153.4957072,2,19,0.94,2.186096234,-0.026872146,306.9914144
SPL23,G18,SA,unk,202.5345715,2,1,0.823,2.306499166,-0.084600165,405.0691431
SPL24,G18,SA,unk,246.5140028,2,7,0.749,2.391841594,-0.125518182,493.0280056
SPL25,G18,SA,unk,271.5951879,2,13,0.715,2.433922071,-0.145693958,543.1903757
SPL26,G18,SA,unk,215.9936977,2,19,0.798,2.334441079,-0.097997109,431.9873953
SPL27,Y7,SA,unk,69.54264461,4.23,1,1.374,1.842251202,0.137986733,294.1653867
SPL28,Y7,SA,unk,164.9944139,2,7,0.908,2.217469241,-0.041914151,329.9888277
SPL29,Y7,SA,unk,102.650986,4.23,13,1.14,2.011363125,0.056904851,434.2136709
SPL3,Y11,SA,unk,134.3505294,4.23,19,1.002,2.128239382,0.000867722,568.3027394
SPL30,Y7,SA,unk,88.95839081,5.5,19,1.221,1.949186918,0.086715664,489.2711495
SPL31,P8,LD,unk,102.4634342,2.2,1,1.141,2.010568908,0.057285644,225.4195553
SPL32,P8,LD,unk,92.71900231,2,7,1.197,1.96716875,0.07809415,185.4380046
SPL33,P8,LD,unk,160.5375618,2,13,0.92,2.205576663,-0.036212173,321.0751236
SPL34,P8,LD,unk,143.7604044,2,19,0.97,2.157639286,-0.013228266,287.5208089
SPL35,G16,A,unk,141.9232755,2,1,0.976,2.152053626,-0.010550182,283.8465509
SPL36,G16,A,unk,198.9882579,2,7,0.83,2.29882745,-0.080921908,397.9765158
SPL37,G16,A,unk,192.6416108,2,13,0.843,2.284750101,-0.074172425,385.2832217
SPL38,G16,A,unk,165.3740541,2,19,0.907,2.218467373,-0.042392713,330.7481082
SPL39,G6,LD,unk,164.2389915,2,1,0.91,2.21547627,-0.040958608,328.477983
SPL4,Y14,SA,unk,51.96506336,2,7,1.58,1.715711461,0.198657087,103.9301267
