WellID,ID,treat,Name,Concentration,dilution,timepoint,meanOD,log_conc,log_OD,Concentration_corrected
SPL1,R14,SA,unk,128.6922977,2,1,0.9295,2.109552555,-0.031750606,257.3845954
SPL10,G13,SLD,unk,230.349558,2,7,0.6865,2.362387383,-0.163359458,460.699116
SPL11,G13,SLD,unk,188.2721958,2,13,0.7625,2.274786188,-0.117760152,376.5443916
SPL12,G13,SLD,unk,288.587291,2,19,0.6105,2.460277201,-0.214314332,577.1745819
SPL13,G12,SA,unk,189.703463,2,1,0.7595,2.278075259,-0.119472222,379.406926
SPL14,G12,SA,unk,222.195764,2,7,0.6995,2.346735775,-0.155212281,444.3915281
SPL15,G12,SA,unk,134.4678682,4.23,13,0.9085,2.12861852,-0.041675068,568.7990825
SPL16,G12,SA,unk,171.8907216,2.39,19,0.7995,2.235252435,-0.097181532,410.8188246
SPL17,R18,SA,unk,137.0644847,2,1,0.8995,2.136924938,-0.045998832,274.1289694
SPL18,R18,SA,unk,82.64323844,2.75,7,1.1705,1.917207327,0.068371418,227.2689057
SPL19,R18,SA,unk,184.9957452,2,13,0.7695,2.26716174,-0.113791376,369.9914903
SPL2,R14,SA,unk,59.28017216,2.75,7,1.3915,1.772909456,0.143483211,163.0204734
SPL20,R18,SA,unk,155.0796262,2,19,0.8435,2.190554746,-0.073914913,310.1592524
SPL21,Y6,SLD,unk,158.3086699,2,1,0.8345,2.1995047,-0.078573659,316.6173397
SPL22,Y6,SLD,unk,166.2528235,2,7,0.8135,2.22076903,-0.089642443,332.5056469
SPL23,Y6,SLD,unk,127.6350128,2,13,0.9335,2.105969826,-0.029885678,255.2700256
SPL24,Y6,SLD,unk,162.7755997,2.75,19,0.8225,2.211589304,-0.084864093,447.6328993
SPL25,Y5,SA,unk,129.2259415,2.08,1,0.9275,2.111349705,-0.032686082,268.7899584
SPL26,Y5,SA,unk,84.85759394,2.56,7,1.1545,1.928690714,0.062393937,217.2354405
SPL27,Y5,SA,unk,97.23647065,2,13,1.0755,1.987829187,0.031610415,194.4729413
SPL28,Y5,SA,unk,145.6495026,2.39,19,0.8715,2.163309006,-0.059732609,348.1023113
SPL29,G1,A,unk,262.3930093,2,1,0.6415,2.41895226,-0.192803339,524.7860185
SPL3,R14,SA,unk,81.17142953,2,13,1.1815,1.909403194,0.072433726,162.3428591
SPL30,G1,A,unk,230.9955444,2,7,0.6855,2.363603603,-0.163992541,461.9910888
SPL31,G1,A,unk,165.8609155,2,19,0.8145,2.219744058,-0.089108911,331.721831
SPL32,G8,A,unk,41.68163455,4.07,1,1.6715,1.619944742,0.223106381,169.6442526
SPL33,G8,A,unk,102.8563349,2.08,7,1.0445,2.012231045,0.018908444,213.9411765
SPL34,G8,A,unk,132.7781147,2.39,13,0.9145,2.123126498,-0.03881629,317.3396942
SPL35,G8,A,unk,167.0408756,2,19,0.8115,2.222822758,-0.090711476,334.0817512
SPL36,P13,A,unk,109.81648,2,1,1.0095,2.040667519,0.004106323,219.63296
SPL37,P13,A,unk,75.07575124,2,7,1.2305,1.875499687,0.090081618,150.1515025
SPL38,P13,A,unk,87.01654865,2,13,1.1395,1.939601854,0.05671433,174.0330973
SPL39,P13,A,unk,136.4809092,2,19,0.9015,2.135071907,-0.045034269,272.9618185
SPL4,R14,SA,unk,91.27653859,2,19,1.1115,1.960359162,0.045909467,182.5530772
SPL40,P20,A,unk,245.2237478,2,1,0.6645,2.389562526,-0.177505015,490.4474956
SPL41,P20,A,unk,43.25859071,4.23,7,1.6395,1.636072367,0.214711421,182.9838387
SPL42,P20,A,unk,204.974303,2.39,13,0.7295,2.311699418,-0.136974704,489.8885841
SPL43,P20,A,unk,292.254833,2,19,0.6065,2.465761702,-0.217169195,584.5096661
SPL44,G15,LD,unk,232.9501188,2,1,0.6825,2.367262936,-0.165897344,465.9002375
