"WellID","ID","treat","Name","Concentration","dilution","timepoint","meanOD","log_conc","log_OD","Concentration_corrected"
"BLK","blk",NA,"blk",Inf,1,NA,0,Inf,-Inf,Inf
"SPL1","Y10","SA","unk",345.523988364761,2,1,0.575,2.53847820410616,-0.24033215531037,691.047976729522
"SPL10","G17","SLD","unk",110.750735814835,2,7,0.978,2.04434662030604,-0.00966114521239857,221.501471629669
"SPL11","G17","SLD","unk",69.4561444903837,2,13,1.216,1.84171067196317,0.0849335749367161,138.912288980767
"SPL12","G17","SLD","unk",89.1930740934897,2,19,1.082,1.95033113240573,0.0342272607705507,178.386148186979
"SPL13","G14","SA","unk",209.057080389953,2,1,0.727,2.320264880914,-0.138465589140962,418.114160779905
"SPL14","G14","SA","unk",203.619101430688,2,7,0.736,2.30881851657644,-0.133122185662501,407.238202861375
"SPL15","G14","SA","unk",226.019518283531,2.75,13,0.701,2.35414594497401,-0.154281982033341,621.553675279709
"SPL16","G14","SA","unk",192.253997383131,2,19,0.756,2.28387537850409,-0.121478204498793,384.507994766262
"SPL17","Y12","SA","unk",45.0723168047171,2.5,1,1.488,1.6539098822255,0.17260293120986,112.680792011793
"SPL18","Y12","SA","unk",95.8983733495773,2,7,1.046,1.98181124062954,0.0195316845312554,191.796746699155
"SPL19","Y12","SA","unk",211.542538839189,2,13,0.723,2.32539771225719,-0.140861702705469,423.085077678378
"SPL2","Y10","SA","unk",92.2707577621201,2.44,7,1.065,1.96506408721525,0.0273496077747565,225.140648939573
"SPL20","Y12","SA","unk",115.246744175723,2.2,19,0.96,2.06162866502489,-0.0177287669604316,253.542837186591
"SPL21","G4","LD","unk",270.148402811246,2,1,0.645,2.43160240421905,-0.190440285364732,540.296805622492
"SPL22","G4","LD","unk",65.4719629281841,3.67,7,1.25,1.81605536178803,0.0969100130080564,240.282103946435
"SPL23","G4","LD","unk",151.857566870127,2.39,13,0.844,2.18143643713716,-0.073657553374345,362.939584819604
"SPL24","G4","LD","unk",182.298550584868,2,19,0.775,2.2607832156901,-0.11069829749369,364.597101169736
"SPL25","G7","LD","unk",82.8359185923368,2,1,1.12,1.91821869262976,0.0492180226701816,165.671837184674
"SPL26","G7","LD","unk",128.631701090671,2,7,0.912,2.10934801300582,-0.0400051616715839,257.263402181342
"SPL27","G7","LD","unk",89.3699156851055,2.75,13,1.081,1.95119134820537,0.0338256939533103,245.76726813404
"SPL28","G7","LD","unk",91.1669735703485,2,19,1.071,1.95983753795729,0.0297894708318556,182.333947140697
"SPL29","P15","LD","unk",140.91012976043,2,1,0.874,2.14894221483346,-0.058488567365597,281.820259520861
"SPL3","Y10","SA","unk",168.054534603295,2,13,0.805,2.22545023550004,-0.0942041196321315,336.109069206589
"SPL30","P15","LD","unk",146.965721377387,2.75,7,0.857,2.16721605071651,-0.0670191780768018,404.155733787814
"SPL31","P15","LD","unk",109.547503035006,2.75,13,0.983,2.03960248294212,-0.00744648216786443,301.255633346267
"SPL32","P15","LD","unk",130.155493334704,2,19,0.907,2.11446250263813,-0.0423927129399048,260.310986669408
"SPL33","Y3","LD","unk",75.0247179044172,2.97,1,1.173,1.87520437113741,0.0692980121155293,222.823412176119
"SPL34","Y3","LD","unk",79.7539796716773,2.75,7,1.14,1.90175236328191,0.0569048513364726,219.323444097113
"SPL35","Y3","LD","unk",77.5516604616617,2,13,1.155,1.88959110094546,0.0625819842281631,155.103320923323
"SPL36","Y3","LD","unk",96.8877689684483,2,19,1.041,1.98626895553601,0.0174507295105361,193.775537936897
"SPL37","R7","A","unk",55.8749716467026,3.14,1,1.346,1.74721731576087,0.129045059887958,175.447410970646
"SPL38","R7","A","unk",93.3942556545485,4.23,7,1.059,1.97032016515674,0.024895960107485,395.05770141874
"SPL39","R7","A","unk",124.501688098861,2,13,0.926,2.09517524000244,-0.0333890133180657,249.003376197721
"SPL4","Y10","SA","unk",139.538533940336,2,19,0.878,2.14469415575817,-0.0565054840938974,279.077067880672
"SPL40","R7","A","unk",66.0365107050916,2.75,19,1.245,1.81978411756533,0.0951693514317551,181.600404439002
"SPL41","P16","A","unk",109.786610475699,2,1,0.982,2.04054937698928,-0.00788851221305034,219.573220951398
"SPL42","P16","A","unk",102.066603909225,2,7,1.016,2.00888366460908,0.00689370794790046,204.13320781845
"SPL43","P16","A","unk",64.693416100338,3.14,13,1.257,1.81086008442779,0.0993352776859577,203.137326555061
"SPL44","P16","A","unk",93.3942556545485,2,19,1.059,1.97032016515674,0.024895960107485,186.788511309097
"SPL45","R2","SLD","unk",125.370148220088,2.75,1,0.923,2.0981941393125,-0.034798298974088,344.767907605241
"SPL46","R2","SLD","unk",116.282165357343,2,7,0.956,2.065513110422,-0.0195421077238999,232.564330714686
"SPL47","R2","SLD","unk",62.2287853433033,2,13,1.28,1.79399132398223,0.107209969647868,124.457570686607
"SPL48","R2","SLD","unk",80.6606528123188,3.14,19,1.134,1.9066617325692,0.0546130545568877,253.274449830681
"SPL49","G9","SLD","unk",336.682786853138,2,1,0.582,2.52722091334148,-0.235077015350112,673.365573706276
"SPL5","G19","SLD","unk",145.507011260977,2,1,0.861,2.16288392032256,-0.0649968485463452,291.014022521954
"SPL50","G9","SLD","unk",303.376918486925,2,7,0.611,2.48198253572862,-0.213958789757446,606.753836973851
"SPL51","G9","SLD","unk",183.31042033317,2,13,0.773,2.26318715325772,-0.111820506081675,366.62084066634
"SPL52","G9","SLD","unk",341.693692239078,2,19,0.578,2.53363696167542,-0.238072161579471,683.387384478156
"SPL53","G2","SLD","unk",174.019021801834,2,1,0.792,2.24059672306451,-0.101274818410507,348.038043603668
"SPL54","G2","SLD","unk",190.092949467813,2,7,0.76,2.2789660092168,-0.119186407719209,380.185898935627
"SPL55","G2","SLD","unk",142.301592557876,3.67,13,0.87,2.15320976048645,-0.0604807473813815,522.246844687406
"SPL56","G2","SLD","unk",276.537557990921,2,19,0.638,2.4417541234183,-0.195179321278838,553.075115981843
"SPL57","R14","SA","unk",106.966987390981,2,1,0.994,2.02924976454403,-0.00261361560268669,213.933974781962
"SPL58","st4",NA,"unk",71.0738938659218,1,NA,1.203,1.85171010942242,0.0802656273398448,71.0738938659218
"SPL59","std 1",NA,"unk",1565.75702841637,1,NA,0.284,3.19472436985161,-0.546681659952962,1565.75702841637
"SPL6","G19","SLD","unk",240.47763597358,2,7,0.681,2.38107469391201,-0.166852888087215,480.955271947159
"SPL60","std 4",NA,"unk",86.940095093505,1,NA,1.095,1.93922011087853,0.0394141191761371,86.940095093505
"SPL61","std 5",NA,"unk",38.7904122081825,1,NA,1.596,1.58872439467579,0.203032887014711,38.7904122081825
"SPL62","std 6",NA,"unk",29.7662036440908,1,NA,1.806,1.47372344863539,0.256717745977487,29.7662036440908
"SPL7","G19","SLD","unk",180.796041049355,2,13,0.778,2.25718891635371,-0.109020403010311,361.592082098711
"SPL8","G19","SLD","unk",161.960750621498,2,19,0.819,2.20940978087743,-0.0867160982395816,323.921501242995
"SPL9","G17","SLD","unk",102.066603909225,2,1,1.016,2.00888366460908,0.00689370794790046,204.13320781845
"STD1","std",NA,"standard",1000,1,NA,0.3145,3,-0.502379350218712,1000
"STD2","std",NA,"standard",500,1,NA,0.455,2.69897000433602,-0.341988603342888,500
"STD3","std",NA,"standard",250,1,NA,0.7345,2.39794000867204,-0.134008199873725,250
"STD4","std",NA,"standard",125,1,NA,1.0355,2.09691001300806,0.0151501032294713,125
"STD5","std",NA,"standard",62.5,1,NA,1.445,1.79588001734408,0.159867847092567,62.5
"STD6","std",NA,"standard",31.2,1,NA,1.747,1.49415459401844,0.242292904982931,31.2
"STD7","std",NA,"standard",15.6,1,NA,2.1005,1.19312459835446,0.322322685874011,15.6
"STD8","std",NA,"standard",0,1,NA,2.545,-Inf,0.405687786672778,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
