Bird_Id,Cage,Sex,Initial_mass,Final_mass,Tarsus (mm),Light_Condition,Social_Condition,treatment,Date_In,Sac_Day,phase,time,Comments,PER2,PER3,CRY,BMAL,melatonin,L_PER2,L_PER3,L_CRY,L_BMAL,act,on1,on2,on3,on4,on5,on6,on7,on8,on9,off1,off2,off3,off4,off5,off6,off7,off8,off9
B10,1,m,16.8,16.14,15.9,ALAN,grouped,SA,2/7/2023,3/13/2023,day,1,bmal is weird may be a weird bird,1.13821,0.64489,0.90657,1.04367,288.6028,1.22715,1.06011,0.73924,0.00018,4.333333333,-171,-63,-196,-195,-90,,-113,,-71,38,82,59,89,3,138,4,-7,-41
DB187,1,f,17.2,17.2,16.3,ALAN,grouped,SA,2/7/2023,3/13/2023,day,7,,0.12475,0.06764,0.79688,1.14955,705.7389,0.06278,0.03097,1.94013,0.50257,3.5,-171,-63,-196,-195,-90,,-113,,-71,38,82,59,89,3,138,4,-7,-41
G9,1,m,15,14.8,15.5,ALAN,grouped,SA,2/7/2023,3/13/2023,day,7,,0.42739,0.15088,0.5001,1.11732,408.6074,0.21946,0.01843,0.49857,0.10955,3.5,-171,-63,-196,-195,-90,,-113,,-71,38,82,59,89,3,138,4,-7,-41
O100,1,m,17.5,17.55,14.8,ALAN,grouped,SA,2/7/2023,3/13/2023,night,13,,0.20397,0.11564,0.41461,0.42928,247.9558,0.02244,0.00726,0.29167,0.18391,0,-171,-63,-196,-195,-90,,-113,,-71,38,82,59,89,3,138,4,-7,-41
O133,1,f,16.5,19.93,17,ALAN,grouped,SA,2/7/2023,3/13/2023,day,1,,,1.17629,1.30506,0.52605,195.8446,1.06935,1.07509,0.62344,0.01133,4.333333333,-171,-63,-196,-195,-90,,-113,,-71,38,82,59,89,3,138,4,-7,-41
O18,1,f,16.8,18,15.6,ALAN,grouped,SA,2/7/2023,3/13/2023,night,13,,0.41351,0.11647,1.29872,0.93297,668.7782,0.01393,0.0124,0.54797,0.18077,0,-171,-63,-196,-195,-90,,-113,,-71,38,82,59,89,3,138,4,-7,-41
B20,3,m,17,17.52,21,LD,isolated,LD,2/7/2023,3/13/2023,day,1,,1.11003,1.50706,1.06945,,372.1554,0.73992,0.76099,0.23127,0.06686,,,,,,,,,,,,,,,,,,,
B1,4,m,15.5,16.15,15.5,ALAN,grouped,SA,2/7/2023,3/14/2023,night,19,,0.64917,1.36977,0.19976,0.47117,822.0658,0.05969,0.70412,0.01742,0.00708,1,-382,-408,-313,-203,-143,,-47,,-43,169,5,34,151,74,169,25,29,-114
G1,4,m,13.8,14.49,15.6,ALAN,grouped,SA,2/7/2023,3/13/2023,day,7,,0.44374,0.09165,1.27215,0.63769,450.0722,0.05373,0.01181,1.02669,1.07634,1.666666667,-382,-408,-313,-203,-143,,-47,,-43,169,5,34,151,74,169,25,29,-114
O3,4,f,18,18.39,15.7,ALAN,grouped,SA,2/7/2023,3/13/2023,day,1,Bald patch,1.71181,0.17201,0.73018,0.63796,287.3119,,,,,,-382,-408,-313,-203,-143,,-47,,-43,169,5,34,151,74,169,25,29,-114
O99,4,m,17.2,17.54,16,ALAN,grouped,SA,2/7/2023,3/13/2023,day,1,,1.31479,0.74292,1.3654,0.17508,124.9943,0.39826,0.37071,0.22022,0.00955,5.333333333,-382,-408,-313,-203,-143,,-47,,-43,169,5,34,151,74,169,25,29,-114
Y11,4,f,19.5,20.78,15.9,ALAN,grouped,SA,2/7/2023,3/14/2023,night,19,,0.80457,0.46686,0.62554,0.66778,1380.164,0.05231,0.90973,0.08587,0.08264,1,-382,-408,-313,-203,-143,,-47,,-43,169,5,34,151,74,169,25,29,-114
Y3,4,f,14.5,16.42,14.9,ALAN,grouped,SA,2/7/2023,3/13/2023,day,7,,0.86409,0.40237,1.01648,1.5062,110.9259,0.0455,0.01967,1.07688,0.1656,1.666666667,-382,-408,-313,-203,-143,,-47,,-43,169,5,34,151,74,169,25,29,-114
G8,6,m,15,16.86,16.6,ALAN,isolated,A,2/7/2023,3/13/2023,day,1,,2.34917,0.91641,0.45704,0.14481,984.5777,1.21001,0.9487,0.20844,0.00612,6,13,6,9,2,-8,,13,,13,-238,,-142,-243,16,34,-297,-108,-170
B9,7,m,20,18.09,17.1,LD,grouped,SLD,2/7/2023,3/13/2023,day,7,,0.85814,0.15186,1.70321,0.72568,194.3738,,,,,,1,13,1,8,7,,7,,18,-24,0,-17,1,2,-28,-6,-7,-3
DB64,7,m,16.8,17.25,16,LD,grouped,SLD,2/7/2023,3/13/2023,night,13,,0.59983,0.15753,1.29872,1.20804,334.6047,0.01222,0.00896,0.69263,1.34305,0,1,13,1,8,7,,7,,18,-24,0,-17,1,2,-28,-6,-7,-3
G2,7,m,17.2,16,15.6,LD,grouped,SLD,2/7/2023,3/13/2023,day,1,,3.34666,1.54859,1.21892,0.6321,112.8509,1.14052,0.77074,0.71142,0.03587,3.5,1,13,1,8,7,,7,,18,-24,0,-17,1,2,-28,-6,-7,-3
O124,7,f,17,16.77,17.2,LD,grouped,SLD,2/7/2023,3/14/2023,night,19,,0.66723,0.66715,0.76265,1.39236,201.8395,0.01226,0.25426,0.0347,0.14463,0,1,13,1,8,7,,7,,18,-24,0,-17,1,2,-28,-6,-7,-3
O125,7,f,17.8,16.16,15.4,LD,grouped,SLD,2/7/2023,3/13/2023,day,1,,3.42749,1.21173,1.17748,0.54627,550.4724,1,1,0.52978,0.08916,3.5,1,13,1,8,7,,7,,18,-24,0,-17,1,2,-28,-6,-7,-3
Y4,7,f,16.2,16.06,14.9,LD,grouped,SLD,2/7/2023,3/13/2023,day,7,Bald patch,1.25287,0.18643,1,,370.4069,0.23175,0.16331,1.05476,,3,1,13,1,8,7,,7,,18,-24,0,-17,1,2,-28,-6,-7,-3
O44,9,f,20,20.45,15.6,LD,isolated,LD,2/7/2023,3/13/2023,day,1,,,,1.27297,0.49099,717.7711,0.93432,0.58269,0.2957,0.02172,,,,,,,,,,,,,,,,,,,
Y2,10,f,13.75,14.89,16.1,ALAN,isolated,A,2/7/2023,3/13/2023,day,1,,,1.02633,1.40687,1.37278,332.2856,0.61774,0.44049,0.55042,0.01934,7.166666667,-376,-119,-511,-444,-453,,-120,,-96,,163,43,86,23,23,39,51,26
O21,11,m,17,18.7,17.3,ALAN,isolated,A,2/7/2023,3/13/2023,day,7,,0.70067,0.19376,1.56043,1.1853,209.4354,0.08894,0.02665,0.32712,0.10982,15,3,-3,3,8,16,,8,,10,-206,-175,-225,-193,-207,-180,-190,-191,-220
B3,12,m,15.5,14.83,16.1,LD,isolated,LD,2/7/2023,3/13/2023,day,7,,1,0.16445,1.03532,,394.3023,0.2686,0.12472,0.66933,0.25359,4.5,21,16,22,21,26,,28,,73,-156,-120,-125,-42,-171,-151,-172,-214,-163
O96,13,m,17.2,18.52,16,LD,isolated,LD,2/7/2023,3/13/2023,night,13,,0.27289,0.08458,0.46031,0.48764,2310.544,0.03992,0.0282,0.77661,1.55494,0,19,13,15,12,13,,14,,15,-316,-12,-25,-303,-348,-8,-23,-365,-1
Y12,14,f,14,16.08,15.3,ALAN,isolated,A,2/7/2023,3/13/2023,day,7,,0.36616,0.11119,0.51588,0.84476,691.5677,0.51403,0.3873,0.72739,0.33841,0.5,-185,-395,-244,-71,-9,,8,,0,7,124,102,154,,93,17,67,16
Y9,15,f,16,15.98,15.3,LD,isolated,LD,2/7/2023,3/13/2023,day,7,,0.62797,0.11193,0.94296,0.51249,,0.77266,0.44141,1.28667,0.37815,3,7,1,0,7,6,,22,,31,-122,-74,-71,4,-46,5,2,4,5
Y10,16,f,14.5,13.61,15.1,ALAN,isolated,A,2/7/2023,3/13/2023,night,13,,0.4153,0.1134,1.08701,1.38778,1937.821,0.18184,0.02032,0.65162,0.41424,1.5,-231,22,14,19,45,,-1,,3,177,-64,-162,10,13,,,,174
B16,17,m,15.2,15.35,16.5,LD,isolated,LD,2/7/2023,3/14/2023,night,19,,0.30903,0.83391,0.426,,969.3793,0.06225,1,0.10675,0.09127,0,14,12,11,15,28,,15,,16,-174,-184,-234,-183,-2,-10,-175,-211,3
G7,18,m,14.5,13.65,15.8,ALAN,isolated,A,2/7/2023,3/13/2023,night,13,"Brain fell apart, hypo hard to determine",0.3882,0.07116,0.57096,1.26401,427.041,0.02446,0.01931,1.14715,1.13549,0,1,-37,-2,-2,-47,,0,,13,38,-252,-326,-270,-331,-175,-176,-241,-225
O71,19,m,15.8,18.23,16,LD,isolated,LD,2/7/2023,3/13/2023,night,13,Died right before sacrificing ,0.07577,0.09038,0.74628,,1095.775,0.0144,0.00915,0.70786,1.649,0,13,11,10,9,11,,13,,14,-141,12,-203,14,18,17,1,-33,9
B15,20,m,14.8,14.7,15.5,ALAN,isolated,A,2/7/2023,3/14/2023,night,19,,0.5303,1.03152,0.56384,0.00407,273.6752,0.02835,0.286,0.03716,0.00006,0,6,2,1,30,0,,19,,8,103,18,12,13,17,20,21,25,133
O46,21,f,15.75,16.83,15.4,LD,isolated,LD,2/7/2023,3/13/2023,night,13,0.03019,0.12203,0.03019,0.32444,0.7125,191.5557,0.01058,0.00458,0.41149,0.30493,0,22,22,14,33,17,,19,,18,10,-182,-221,-149,-166,-168,-231,-189,-195
B4,22,m,16.5,17.56,16.2,ALAN,isolated,A,2/7/2023,3/13/2023,night,13,"band was red 175 (but we rebanded all red bands), B4 may have fallen off can't find",0.27438,0.09258,0.85571,0.52905,527.7219,0.02063,0.00995,0.59258,0.23276,0.166666667,5,-8,-37,-48,-15,,0,,1,51,-301,-306,17,-275,9,15,14,12
O73,23,f,15,14.92,14.6,LD,isolated,LD,2/7/2023,3/14/2023,night,19,"bird died right before sacrificing, was supposed to be ALAN but was unplugged, unsure when it got unplugged ",0.1005,1.20128,0.28168,0.58502,382.3799,0.03616,0.22118,0.03018,0.00833,0,8,12,6,12,8,,6,,9,-107,-59,-220,-238,-244,-172,-179,-131,-68
Y6,24,f,15.25,17.52,16.4,LD,isolated,LD,2/7/2023,3/14/2023,night,19,,0.30185,0.22044,0.18029,0.20941,153.6547,0.01487,0.34063,0.11065,0.05084,0,33,14,23,15,18,,12,,6,-72,-87,-118,-103,-101,-96,-13,-71,-57
B19,1,m,14,16.58,15,ALAN,grouped,SA,3/15/2023,4/17/2023,night,13,,0.11047,0.12549,0.56399,0.565,3234.991483,0.01643,0.01756,0.66445,1.04639,0.166666667,1,-265,-61,-223,,-69,-82,-107,-58,73,17,-4,22,146,169,11,126,13
